city,neighborhood,zip_code,median_household_income,dominant_age_group,population_density,avg_commercial_rent_sqft,foot_traffic_index,food_dining_spend_index,retail_spend_index,wellness_spend_index,nightlife_index,family_index,tourism_score
San Francisco,Hayes Valley,94102,105000,25-40,17500,5.80,88,85,78,72,75,35,65
San Francisco,Mission District,94110,78000,25-40,21000,4.20,92,90,72,65,85,40,70
San Francisco,Marina District,94123,125000,25-45,14000,5.50,80,82,80,78,65,45,60
San Francisco,Noe Valley,94114,145000,30-50,12000,4.80,65,75,70,68,40,82,30
San Francisco,SoMa,94103,95000,25-35,18500,6.20,85,78,68,60,80,20,75
San Francisco,Pacific Heights,94115,175000,35-60,10000,6.50,55,72,82,75,30,70,45
San Francisco,North Beach,94133,88000,30-50,20000,5.00,90,92,65,50,88,30,90
San Francisco,Castro,94114,98000,25-45,16000,4.60,82,80,75,70,82,25,72
San Francisco,Sunset District,94122,92000,35-55,14500,3.20,50,55,60,55,25,85,15
San Francisco,Richmond District,94118,85000,35-55,15000,3.40,52,65,58,50,20,80,20
San Francisco,Potrero Hill,94107,130000,30-45,11000,4.50,60,70,65,62,45,65,25
San Francisco,Haight-Ashbury,94117,82000,22-38,17000,4.10,78,72,70,65,70,30,68
San Francisco,Fillmore,94115,70000,25-45,18000,3.80,72,68,62,55,60,45,40
San Francisco,Dogpatch,94107,115000,28-42,9500,4.00,58,72,60,58,50,40,35
San Francisco,Inner Sunset,94122,105000,28-45,13000,3.60,62,70,62,65,35,75,20
New York,SoHo,10012,130000,25-45,25000,8.50,95,88,95,70,80,20,95
New York,Williamsburg,11211,95000,22-38,22000,5.80,90,85,82,72,90,30,78
New York,West Village,10014,145000,28-50,20000,7.20,88,90,85,75,85,35,85
New York,Upper West Side,10024,135000,30-55,19000,5.50,75,78,75,72,45,85,70
New York,Chelsea,10011,120000,25-45,21000,6.80,85,82,80,78,75,30,80
New York,East Village,10003,85000,22-35,28000,5.20,92,88,72,65,92,20,75
New York,Bushwick,11237,62000,22-35,18000,3.50,72,70,60,55,75,35,30
New York,Park Slope,11215,140000,30-50,16000,5.00,70,75,72,70,40,90,35
New York,Astoria,11106,72000,25-40,21000,3.80,75,80,65,58,65,55,40
New York,Harlem,10027,55000,25-45,22000,3.20,68,65,55,50,60,50,45
New York,Lower East Side,10002,78000,22-38,26000,5.50,88,85,70,60,88,18,72
New York,Tribeca,10013,185000,30-50,15000,8.00,72,82,80,72,50,65,70
New York,Midtown East,10022,110000,30-55,25000,9.50,95,75,88,65,55,25,95
New York,Greenwich Village,10012,125000,25-45,22000,6.50,85,88,78,70,78,30,82
New York,Crown Heights,11213,58000,25-40,19000,3.00,65,62,55,48,55,60,25
New York,DUMBO,11201,160000,28-42,12000,7.50,78,80,75,68,55,45,80
New York,Hell's Kitchen,10019,82000,25-40,24000,5.00,82,80,68,62,82,22,78
Austin,South Congress,78704,88000,25-40,8500,4.20,85,88,80,70,78,40,82
Austin,East Austin,78702,72000,22-38,7000,3.50,78,82,68,62,80,35,55
Austin,Downtown Austin,78701,95000,25-40,12000,5.50,92,85,78,68,90,15,90
Austin,Zilker,78704,120000,28-45,6000,4.00,65,72,68,75,50,70,60
Austin,Hyde Park,78751,75000,22-35,8000,3.20,60,65,58,62,45,55,30
Austin,Mueller,78723,92000,30-45,7500,3.80,58,62,65,68,30,85,20
Austin,Clarksville,78703,135000,30-50,5500,4.50,55,78,72,70,40,65,35
Austin,Rainey Street,78701,85000,25-35,15000,5.80,88,82,65,55,95,10,85
Austin,Domain,78758,80000,25-40,9000,4.80,82,72,85,70,65,40,50
Austin,South Lamar,78704,82000,25-40,7500,3.60,72,78,72,68,70,45,40
Austin,West Campus,78705,45000,18-25,18000,3.00,80,65,55,50,85,10,25
Austin,North Loop,78756,68000,25-38,6500,2.80,55,62,65,58,40,50,20
Austin,Barton Hills,78746,145000,35-55,4000,3.50,35,55,60,72,20,80,15
Austin,Cedar Park,78613,95000,30-50,5000,2.50,45,48,58,55,20,90,10
Chicago,Wicker Park,60622,90000,25-40,15000,4.50,88,85,82,68,85,30,60
Chicago,Lincoln Park,60614,115000,25-45,14000,4.80,80,78,78,75,65,70,55
Chicago,Logan Square,60647,75000,25-38,13000,3.80,78,80,70,62,78,40,35
Chicago,West Loop,60607,105000,28-42,16000,5.50,90,90,75,70,80,25,72
Chicago,Bucktown,60647,98000,28-42,12000,4.20,75,78,75,68,70,50,30
Chicago,River North,60654,120000,25-45,18000,6.50,92,82,85,65,88,15,85
Chicago,Old Town,60610,110000,28-45,13000,4.80,72,75,72,65,60,55,50
Chicago,Lakeview,60657,85000,25-40,16000,4.00,78,75,70,72,75,45,40
Chicago,Hyde Park,60615,70000,22-40,11000,3.00,55,58,55,55,35,65,45
Chicago,Pilsen,60608,52000,22-38,14000,2.80,72,75,60,50,65,45,50
Chicago,Andersonville,60640,78000,28-45,12000,3.20,65,72,68,70,55,55,25
Chicago,Gold Coast,60610,150000,30-55,17000,7.00,82,78,88,72,60,35,75
Chicago,Humboldt Park,60647,48000,25-40,12000,2.20,50,52,45,40,45,55,15
Chicago,Ukrainian Village,60622,82000,25-38,11000,3.50,68,72,65,58,68,40,22
Chicago,South Loop,60605,95000,28-42,14000,4.50,75,70,68,62,55,50,60
Los Angeles,Silver Lake,90026,85000,25-40,12000,4.00,78,82,72,70,75,35,45
Los Angeles,Venice,90291,105000,25-45,11000,5.50,88,85,78,82,72,30,90
Los Angeles,Los Feliz,90027,95000,28-45,10000,4.20,72,80,70,72,65,50,40
Los Angeles,Santa Monica - Main St,90401,115000,25-45,14000,6.00,90,82,85,80,68,40,92
Los Angeles,West Hollywood,90046,88000,25-40,15000,5.20,85,80,82,78,90,20,78
Los Angeles,Echo Park,90026,68000,22-38,13000,3.20,72,75,62,58,70,40,35
Los Angeles,Arts District,90013,92000,25-38,8000,4.80,78,78,72,60,72,15,65
Los Angeles,Highland Park,90042,72000,25-40,10000,3.00,68,72,60,55,62,50,25
Los Angeles,Culver City,90232,98000,28-45,9000,4.50,70,72,72,68,55,65,40
Los Angeles,Pasadena - Old Town,91101,88000,28-50,11000,4.00,82,78,80,65,58,55,70
Los Angeles,Larchmont Village,90004,110000,30-50,9500,4.80,65,78,75,72,35,75,30
Los Angeles,Koreatown,90020,55000,22-40,22000,3.50,82,85,62,50,80,30,55
Los Angeles,Atwater Village,90039,90000,28-42,8500,3.40,60,70,62,65,45,60,20
Los Angeles,Manhattan Beach,90266,155000,30-55,8000,5.80,72,75,78,80,45,78,65
Los Angeles,Abbot Kinney,90291,120000,25-42,10000,6.50,88,88,85,75,70,25,88
Seattle,Capitol Hill,98102,82000,22-38,16000,4.20,88,82,72,68,88,20,55
Seattle,Fremont,98103,95000,25-40,12000,3.80,72,75,68,65,60,50,45
Seattle,Ballard,98107,92000,28-42,11000,3.60,78,80,72,70,68,55,40
Seattle,Queen Anne,98109,105000,28-45,13000,4.50,70,72,70,68,50,60,50
Seattle,University District,98105,48000,18-28,18000,3.00,75,62,55,50,65,15,35
Seattle,Wallingford,98103,98000,30-45,10000,3.40,58,65,62,68,35,80,15
Seattle,Columbia City,98118,78000,28-42,9000,2.80,62,68,58,55,50,65,20
Seattle,Georgetown,98108,65000,25-38,7000,2.50,50,58,52,45,55,30,15
Seattle,Pioneer Square,98104,75000,25-40,14000,4.00,80,72,65,55,75,10,72
Seattle,Pike Place / Waterfront,98101,90000,25-45,16000,6.00,95,88,82,60,70,15,98
Seattle,Green Lake,98115,105000,28-45,9500,3.50,65,68,65,75,30,82,25
Seattle,South Lake Union,98109,115000,25-38,15000,5.50,82,72,70,72,55,20,55
Seattle,Madison Park,98112,160000,35-55,6000,4.50,40,60,68,70,20,75,15
Seattle,Beacon Hill,98144,68000,28-45,10000,2.40,55,62,52,48,35,70,12
Seattle,West Seattle Junction,98116,95000,30-50,8000,3.20,62,68,65,62,40,78,18
